subject,topic,difficulty,question_text,image_url,mark_scheme
Mathematics,Numbers,Easy,What is 345 + 278?,,"623. Add the ones (5+8=13, write 3 carry 1), then the tens (4+7+1=12, write 2 carry 1), then the hundreds (3+2+1=6)."
Mathematics,Numbers,Easy,"Write the number 4,506 in words.",,"Four thousand five hundred and six. The digits read 4 thousands, 5 hundreds, 0 tens and 6 ones."
Mathematics,Numbers,Easy,Which is greater: 0.7 or 0.65?,,"0.7. Write 0.7 as 0.70; since 70 hundredths is greater than 65 hundredths, 0.7 > 0.65."
Mathematics,Numbers,Easy,"Round 3,846 to the nearest hundred.",,"3,800. The tens digit is 4, which is less than 5, so the hundreds digit stays the same."
Mathematics,Numbers,Easy,"What is the place value of the digit 7 in the number 5,742?",,"700 (7 hundreds). Reading from the right, the places are ones, tens, hundreds, thousands, and the 7 is in the hundreds place."
Mathematics,Numbers,Easy,List all the factors of 12.,,"1, 2, 3, 4, 6, 12. Factors are the whole numbers that divide 12 exactly; they come in pairs: 1x12, 2x6, 3x4."
Mathematics,Numbers,Easy,Look at the number line. What number does the arrow point to?,https://res.cloudinary.com/u6maukag/image/upload/v1790259479/ChatGPT_Image_Sep_24_2026_07_46_30_PM.png,"-4. The arrow is 4 units to the left of zero, so the number is negative 4."
Mathematics,Numbers,Easy,"Which of these numbers is a prime number: 9, 15, 17, 21?",,"17. 9 = 3x3, 15 = 3x5 and 21 = 3x7 all have extra factors. 17 has only two factors, 1 and 17."
Mathematics,Numbers,Easy,"A circle is split into 4 equal parts and 3 of them are shaded, as shown. Write the shaded fraction as a decimal.",https://res.cloudinary.com/u6maukag/image/upload/v1790259644/ChatGPT_Image_Sep_24_2026_07_50_14_PM.png,0.75. The shaded fraction is 3/4. Divide 3 by 4 to get 0.75.
Mathematics,Numbers,Easy,What is 15 x 6?,,"90. 10x6=60 and 5x6=30, and 60+30=90."
Mathematics,Numbers,Medium,Find the lowest common multiple (LCM) of 6 and 8.,,"24. Multiples of 6: 6, 12, 18, 24. Multiples of 8: 8, 16, 24. The smallest common multiple is 24."
Mathematics,Numbers,Medium,Find the highest common factor (HCF) of 36 and 48.,,"12. Factors of 36: 1, 2, 3, 4, 6, 9, 12, 18, 36. Factors of 48: 1, 2, 3, 4, 6, 8, 12, 16, 24, 48. The largest common factor is 12."
Mathematics,Numbers,Medium,Calculate -7 + 12 - 9.,,"-4. -7 + 12 = 5, then 5 - 9 = -4."
Mathematics,Numbers,Medium,Write 0.375 as a fraction in its simplest form.,,3/8. 0.375 = 375/1000. Divide the top and bottom by 125 to get 3/8.
Mathematics,Numbers,Medium,Express 84 as a product of its prime factors.,,2^2 x 3 x 7. 84 = 2 x 42 = 2 x 2 x 21 = 2 x 2 x 3 x 7.
Mathematics,Numbers,Medium,Calculate 2/3 + 3/5. Give your answer as a mixed number.,,1 4/15. Use the common denominator 15: 10/15 + 9/15 = 19/15 = 1 4/15.
Mathematics,Numbers,Medium,"Write 45,600 in standard form.",,"4.56 x 10^4. Move the decimal point 4 places to the left to get a number between 1 and 10, so the power of 10 is 4."
Mathematics,Numbers,Medium,The thermometer shows -6 degrees Celsius at noon. By midnight the temperature has fallen by 9 degrees. What is the temperature at midnight?,https://res.cloudinary.com/u6maukag/image/upload/v1790260514/ChatGPT_Image_Sep_24_2026_08_04_59_PM.png,-15 degrees Celsius. Falling by 9 means subtracting: -6 - 9 = -15.
Mathematics,Numbers,Medium,Find 15% of 240.,,"36. 10% of 240 = 24 and 5% = 12, so 15% = 24 + 12 = 36."
Mathematics,Numbers,Medium,Evaluate 3^4 / 3^2.,,"9. When dividing powers with the same base, subtract the indices: 3^(4-2) = 3^2 = 9."
Mathematics,Numbers,Hard,"Simplify sqrt(48) into the form a x sqrt(b), where b is as small as possible.",,4 sqrt(3). sqrt(48) = sqrt(16 x 3) = sqrt(16) x sqrt(3) = 4 sqrt(3).
Mathematics,Numbers,Hard,Rationalise the denominator of 6 / sqrt(3).,,2 sqrt(3). Multiply top and bottom by sqrt(3): (6 sqrt(3)) / 3 = 2 sqrt(3).
